company_name,State,Sector,paid_up_capital,authorized_cap_inr,age_years,capital_tier,director_count,state_npa_proxy,credit_score,default_risk,is_metro,sector_risk_score
Indian Logistics Corp,Gujarat,Retail,1427012.9975752754,1831747.4769360202,15.06,Micro,3,0.05,770,0,0,0.35
Nova Builders Corp,Uttar Pradesh,Retail,93817352.69611752,118072334.99313404,13.17,Small,1,0.11,723,0,0,0.35
Nova Tech Pvt Ltd,Karnataka,Retail,8614514.723423507,11439344.157891642,1.04,Micro,3,0.05,546,0,1,0.35
Sai Logistics Pvt Ltd,Bihar,Manufacturing,9756296.408856077,11282795.794148726,6.35,Micro,2,0.11,601,0,0,0.48
Ravi Fabrics Pvt Ltd,Bihar,Construction,3294833.4890436986,4784570.659446641,11.54,Micro,2,0.11,593,0,0,0.62
Dynamic Ventures Pvt Ltd,Maharashtra,Retail,8052479.474988694,9160361.531222591,3.69,Micro,1,0.05,526,0,1,0.35
Shree Solutions Corp,Rajasthan,Manufacturing,2436477.917071741,2978871.678156327,3.62,Micro,4,0.08,530,0,0,0.48
Balaji Trading Ltd,Karnataka,Manufacturing,78812121.86966105,93053104.00396878,10.53,Small,3,0.05,725,0,1,0.48
Quality Industries LLP,Delhi,Construction,81925124.1023909,120775152.53155197,15.35,Small,4,0.05,765,0,1,0.62
Dynamic Fabrics Ltd,Uttar Pradesh,Manufacturing,18400535.848398935,21296180.526728988,7.02,Small,2,0.11,681,0,0,0.48
Nova Industries Corp,Haryana,Retail,6458318.218615325,9237205.691060446,1.55,Micro,2,0.08,551,0,0,0.35
Jagannath Builders LLP,Karnataka,Retail,440168765.45798105,533393962.41029,10.51,Medium,2,0.05,697,0,1,0.35
Indian Builders Pvt Ltd,Karnataka,Construction,6520636.92666614,7679551.044054535,5.75,Micro,3,0.05,688,0,1,0.62
Quality Fabrics Ltd,Tamil Nadu,Manufacturing,7758637.58890213,10741371.496359173,2.8,Micro,4,0.08,548,0,1,0.48
Maruti Builders Pvt Ltd,Karnataka,Logistics,15353190.828077486,21956539.581567124,3.85,Small,4,0.05,568,0,1,0.42
Global Builders Ltd,Tamil Nadu,Retail,7607922.570441283,10889297.369702332,12.46,Micro,4,0.08,754,0,1,0.35
Maruti Foods Ltd,Tamil Nadu,F&B,9276955.88158514,12812345.111173848,3.94,Micro,2,0.08,552,0,1,0.55
Sai Trading Pvt Ltd,Haryana,Retail,874708.2480167308,1067074.2437946624,7.24,Micro,2,0.08,675,0,0,0.35
Maruti Fabrics Ltd,Delhi,Construction,7585841.5866822675,9435829.220764823,4.55,Micro,4,0.05,697,0,1,0.62
Global Logistics LLP,Maharashtra,Manufacturing,3467733.524297545,3952009.19728726,5.15,Micro,3,0.05,703,0,1,0.48
Dynamic Logistics Pvt Ltd,Delhi,Manufacturing,2335370.0692375414,2840882.792849671,15.77,Micro,1,0.05,726,0,1,0.48
Balaji Solutions Pvt Ltd,Madhya Pradesh,Retail,2121786.3068000143,2374859.5686843353,10.36,Micro,2,0.08,657,0,0,0.35
Balaji Trading LLP,Gujarat,IT Services,6601913.701720867,8322629.811527279,3.88,Micro,4,0.05,537,0,0,0.28
Jagannath Trading LLP,Delhi,Retail,3635854.6405082997,4018451.450843193,1.75,Micro,4,0.05,557,0,1,0.35
Nova Builders LLP,Odisha,Retail,45119329.483002506,63905711.16248289,3.21,Small,3,0.11,498,0,0,0.35
Global Fabrics Corp,Karnataka,Manufacturing,788928.4706037536,984836.9986592876,1.39,Micro,2,0.05,573,1,1,0.48
Nova Industries Ltd,Karnataka,Retail,1325592.3470706395,1671295.0353235055,3.32,Micro,2,0.05,560,0,1,0.35
Jagannath Builders LLP,Uttar Pradesh,Construction,2958557.227209146,3928016.8851408316,3.75,Micro,2,0.11,517,0,0,0.62
Sai Trading Ltd,Uttar Pradesh,Retail,4416809.71037198,5393327.320543746,4.17,Micro,1,0.11,623,0,0,0.35
Sai Solutions LLP,Maharashtra,Construction,2979857.557617734,3744840.1097883848,9.13,Micro,1,0.05,677,0,1,0.62
Shree Enterprises Pvt Ltd,Gujarat,Manufacturing,3958497.403512698,5734796.392131581,8.24,Micro,4,0.05,634,0,0,0.48
Dynamic Fabrics LLP,Maharashtra,Construction,3507847.0360930976,5251948.714375719,13.52,Micro,2,0.05,754,0,1,0.62
Apex Builders LLP,Chandigarh,Manufacturing,2333962.3404735066,3174124.1299428637,1.62,Micro,2,0.08,527,0,0,0.48
Ravi Enterprises LLP,Gujarat,Construction,5947684.336782719,7877091.43239047,10.81,Micro,3,0.05,692,0,0,0.62
Indian Builders LLP,Karnataka,Construction,3900620.913645361,5620442.010310774,8.65,Micro,3,0.05,712,0,1,0.62
Global Logistics LLP,Maharashtra,IT Services,7307630.350918284,9968136.973823953,5.47,Micro,4,0.05,685,0,1,0.28
Quality Tech LLP,Maharashtra,Retail,9940962.186147485,11826321.294600762,7.61,Micro,3,0.05,671,0,1,0.35
Jagannath Trading LLP,Uttar Pradesh,Retail,4333119.285466042,4948925.905701333,10.93,Micro,3,0.11,637,0,0,0.35
Dynamic Solutions Corp,Gujarat,Manufacturing,4089772.6131570768,4551773.018899846,16.16,Micro,2,0.05,739,0,0,0.48
Quality Industries LLP,Tamil Nadu,Construction,94397250.63925408,124912787.00045085,2.82,Small,4,0.08,601,0,1,0.62
Quality Foods Pvt Ltd,Haryana,Retail,3283994.558799395,3790118.482548912,5.98,Micro,1,0.08,642,0,0,0.35
Balaji Builders Ltd,Karnataka,Retail,4150403.236396997,6179354.06971755,10.66,Micro,1,0.05,642,0,1,0.35
Jagannath Fabrics Pvt Ltd,Tamil Nadu,Retail,5636018.971863679,7507146.652705833,8.77,Micro,1,0.08,680,0,1,0.35
Balaji Industries LLP,Telangana,Manufacturing,86261145.89775644,127781710.04444207,6.01,Small,1,0.08,692,0,1,0.48
Quality Builders Corp,Maharashtra,Retail,6969984.521648509,9592577.869033925,6.83,Micro,4,0.05,673,0,1,0.35
Ravi Industries LLP,Tamil Nadu,Retail,9315919.261955593,13737715.488032551,2.74,Micro,1,0.08,571,0,1,0.35
Dynamic Logistics Pvt Ltd,Karnataka,Manufacturing,5201718.671720069,7267560.034557614,12.97,Micro,4,0.05,734,0,1,0.48
Nova Solutions Ltd,Uttar Pradesh,Manufacturing,9791064.631399117,13008258.053388923,5.99,Micro,3,0.11,615,0,0,0.48
Global Builders Ltd,Chhattisgarh,Construction,2990061.804197844,3627725.251693784,5.33,Micro,4,0.08,698,0,0,0.62
Dynamic Industries Ltd,Odisha,Retail,1519368.7634021577,1820692.4492133553,4.85,Micro,1,0.11,662,0,0,0.35
Shree Industries LLP,Gujarat,Construction,2087592.1480303141,2527562.3574091257,3.56,Micro,2,0.05,551,0,0,0.62
Jagannath Logistics LLP,Telangana,Retail,4787347.585071728,6248378.973730454,5.15,Micro,2,0.08,633,0,1,0.35
Balaji Logistics Pvt Ltd,Karnataka,Manufacturing,4557906.27395638,6520745.184721763,6.56,Micro,2,0.05,692,0,1,0.48
Maruti Industries LLP,Karnataka,Construction,8371621.270087714,12509299.651064903,10.83,Micro,2,0.05,676,0,1,0.62
Ravi Enterprises LLP,Andhra Pradesh,Logistics,1930306.0535780417,2512261.404722857,11.93,Micro,4,0.08,671,0,0,0.42
Ravi Logistics LLP,Maharashtra,Construction,9898320.603312954,13970105.542232702,4.3,Micro,3,0.05,641,0,1,0.62
Shree Ventures Corp,West Bengal,Retail,7034470.738581419,9081549.701483129,4.72,Micro,4,0.08,682,0,1,0.35
Quality Logistics Corp,Gujarat,Manufacturing,1869794.8077419093,2526959.6381846415,9.9,Micro,1,0.05,682,0,0,0.48
Quality Enterprises Ltd,Karnataka,Manufacturing,9691956.4156543,12737133.455964478,14.6,Micro,3,0.05,748,0,1,0.48
Nova Fabrics Pvt Ltd,Gujarat,Retail,1519518.0742083623,2008134.0651027118,6.21,Micro,1,0.05,656,0,0,0.35
Nova Trading Ltd,Maharashtra,IT Services,4535212.697699924,6651503.857597471,11.31,Micro,1,0.05,710,0,1,0.28
Ravi Solutions Corp,Karnataka,Manufacturing,4523698.966128019,5047259.173672865,5.79,Micro,3,0.05,685,0,1,0.48
Global Foods Corp,Andhra Pradesh,Construction,3982211.1465399214,5196039.625947698,8.17,Micro,3,0.08,672,0,0,0.62
Shree Builders LLP,Telangana,Retail,9116185.645397425,12518882.50750462,13.65,Micro,1,0.08,700,0,1,0.35
Maruti Solutions Pvt Ltd,Gujarat,Retail,964132.2068676947,1146182.4928531349,9.3,Micro,2,0.05,689,0,0,0.35
Global Enterprises Ltd,Telangana,F&B,7584145.7185517205,9550345.172578989,6.35,Micro,2,0.08,665,0,1,0.55
Balaji Tech Corp,Ladakh,Retail,6216656.379071801,8885106.994454488,11.46,Micro,1,0.08,686,0,0,0.35
Dynamic Logistics Ltd,Karnataka,Logistics,4322453.801804436,4813100.3360573165,7.81,Micro,2,0.05,682,0,1,0.42
Indian Enterprises Ltd,Mizoram,Retail,7727640.020027249,8799909.209910866,14.89,Micro,3,0.08,739,0,0,0.35
Jagannath Builders LLP,Gujarat,IT Services,6819449.233660257,9355969.072424043,7.98,Micro,1,0.05,683,0,0,0.28
Jagannath Enterprises LLP,Telangana,Retail,5837752.828477842,6668464.417967382,6.65,Micro,2,0.08,647,0,1,0.35
Nova Enterprises Corp,Karnataka,Retail,7630805.569675114,10062727.63241433,7.48,Micro,3,0.05,683,0,1,0.35
Dynamic Fabrics Pvt Ltd,Uttar Pradesh,Retail,232875003.2506319,302358320.5705486,3.51,Medium,1,0.11,533,0,0,0.35
Ravi Foods LLP,West Bengal,Manufacturing,848112.8762642668,1100862.4361408604,11.47,Micro,4,0.08,685,0,1,0.48
Nova Solutions Ltd,Delhi,Retail,6989751.520860043,9370856.043738056,3.77,Micro,1,0.05,534,0,1,0.35
Apex Tech Corp,West Bengal,Manufacturing,5641507.734880718,6696284.312026719,1.97,Micro,1,0.08,527,0,1,0.48
Indian Solutions Pvt Ltd,Rajasthan,Manufacturing,2473968.8491321704,3584520.75439048,5.19,Micro,4,0.08,679,0,0,0.48
Apex Solutions Pvt Ltd,Telangana,Construction,3672624.9130386384,5136761.843477922,10.18,Micro,3,0.08,663,0,1,0.62
Ravi Ventures Pvt Ltd,Maharashtra,Manufacturing,9238875.400104163,11660021.88765396,15.89,Micro,3,0.05,751,0,1,0.48
Nova Fabrics Corp,Maharashtra,Manufacturing,6120184.002520564,7175721.5855901735,9.89,Micro,3,0.05,686,0,1,0.48
Maruti Industries Ltd,Madhya Pradesh,Manufacturing,90757431.65579598,101143287.84878191,5.95,Small,3,0.08,730,0,0,0.48
Global Ventures LLP,Maharashtra,Retail,28208177.751422033,39228169.49154771,5.99,Small,1,0.05,707,0,1,0.35
Jagannath Builders LLP,Gujarat,Logistics,7693158.85208071,10784456.890022835,7.07,Micro,2,0.05,701,0,0,0.42
Indian Solutions Ltd,Telangana,Retail,7350687.072510059,9282698.811751505,26.71,Micro,1,0.08,745,0,1,0.35
Quality Solutions Corp,West Bengal,Logistics,9263435.13970526,10903597.427253846,3.67,Micro,2,0.08,596,0,1,0.42
Apex Industries Pvt Ltd,West Bengal,Retail,53204601.72730411,68527295.36498177,6.72,Small,3,0.08,716,0,1,0.35
Maruti Industries Corp,West Bengal,Construction,3150319.1672557206,4476802.764345864,3.79,Micro,4,0.08,518,0,1,0.62
Ravi Industries Corp,Karnataka,Construction,379347189.08965987,465742025.2857908,5.8,Medium,3,0.05,708,0,1,0.62
Dynamic Tech Pvt Ltd,Tamil Nadu,IT Services,3236029.6257631527,3580903.4939086423,6.55,Micro,4,0.08,710,0,1,0.28
Jagannath Tech Pvt Ltd,Telangana,Manufacturing,3366711.1957898485,4580279.1261647,9.67,Micro,4,0.08,686,0,1,0.48
Shree Tech LLP,Maharashtra,Manufacturing,567375.2768448296,825452.084653908,7.2,Micro,3,0.05,677,0,1,0.48
Dynamic Industries Corp,Tamil Nadu,Manufacturing,17782769.59183789,23747931.488183957,8.62,Small,4,0.08,709,0,1,0.48
Indian Enterprises LLP,Tamil Nadu,IT Services,2014335.0973321602,2438674.440069591,11.35,Micro,2,0.08,646,0,1,0.28
Indian Builders LLP,Karnataka,Retail,2589529.420302989,3331170.859429249,6.63,Micro,3,0.05,697,0,1,0.35
Nova Ventures LLP,Assam,Retail,2920632.0035864785,3689279.6087189266,10.73,Micro,1,0.08,672,0,0,0.35
Jagannath Fabrics Pvt Ltd,Gujarat,F&B,89404610.50405772,119058370.70772491,18.19,Small,3,0.05,753,0,0,0.55
Indian Foods Ltd,Rajasthan,Retail,7836625.125897983,9854521.325849786,10.61,Micro,3,0.08,668,0,0,0.35
Apex Enterprises Pvt Ltd,Maharashtra,Manufacturing,9553640.152130166,10801634.52413246,4.34,Micro,2,0.05,691,0,1,0.48
Maruti Fabrics Ltd,Delhi,IT Services,707147.5593863385,1027864.9245622525,11.28,Micro,1,0.05,687,0,1,0.28
Shree Trading Ltd,Uttar Pradesh,Retail,2232015.3956528804,2985222.629208413,8.11,Micro,2,0.11,647,0,0,0.35
Shree Foods Corp,Bihar,Retail,2427270.091423142,3506166.900374864,5.59,Micro,4,0.11,636,0,0,0.35
Nova Solutions Corp,Karnataka,Manufacturing,67146218.34957822,74316202.66996221,11.36,Small,4,0.05,676,0,1,0.48
Global Ventures Ltd,Haryana,Retail,2597800.903105577,3748058.4057953604,7.27,Micro,1,0.08,679,0,0,0.35
Sai Foods LLP,Karnataka,F&B,3742784.6006635497,4320184.445926797,4.63,Micro,2,0.05,663,0,1,0.55
Global Enterprises Corp,Maharashtra,Construction,3448405.9131518947,4543352.988342609,4.92,Micro,4,0.05,687,0,1,0.62
Maruti Ventures Ltd,Gujarat,Construction,5890382.445597605,8733812.311951533,8.27,Micro,1,0.05,697,0,0,0.62
Shree Solutions Ltd,Karnataka,Logistics,4589287.577815412,6770918.358669439,3.61,Micro,2,0.05,530,0,1,0.42
Ravi Foods LLP,Uttar Pradesh,IT Services,7799878.369593228,8902719.659787657,8.3,Micro,3,0.11,632,0,0,0.28
Sai Enterprises Corp,Maharashtra,Retail,5837992.1418268625,8071546.793023427,6.66,Micro,3,0.05,652,0,1,0.35
Sai Logistics Pvt Ltd,Maharashtra,Manufacturing,3640011.52241629,5045678.87985554,1.53,Micro,3,0.05,528,0,1,0.48
Maruti Fabrics Pvt Ltd,Punjab,Manufacturing,6024255.043374261,6932651.666484479,2.12,Micro,2,0.08,524,0,0,0.48
Dynamic Tech Ltd,Delhi,Retail,6481108.342998035,9362895.616411384,6.51,Micro,3,0.05,666,0,1,0.35
Balaji Trading Pvt Ltd,Gujarat,IT Services,5102621.043654897,6910496.536819384,10.37,Micro,3,0.05,666,0,0,0.28
Nova Solutions LLP,Delhi,Manufacturing,9323550.664973205,11851858.781661248,4.93,Micro,1,0.05,658,0,1,0.48
Ravi Tech Ltd,West Bengal,IT Services,2906099.142285378,3767544.6947593335,15.74,Micro,2,0.08,733,0,1,0.28
Ravi Industries Corp,Delhi,Logistics,5415058.195908829,6549123.466163347,4.95,Micro,1,0.05,660,0,1,0.42
Dynamic Enterprises Corp,Bihar,IT Services,5854589.149670327,8560285.14110476,3.72,Micro,4,0.11,466,0,0,0.28
Balaji Tech LLP,Telangana,Retail,8961623.594773196,13428815.138864206,10.34,Micro,3,0.08,636,0,1,0.35
Quality Logistics LLP,Tamil Nadu,Retail,3758804.060526864,5107734.721300312,2.57,Micro,1,0.08,509,0,1,0.35
Quality Builders Corp,Madhya Pradesh,Retail,6528534.348220395,7223984.198809748,4.06,Micro,1,0.08,656,0,0,0.35
Sai Enterprises Pvt Ltd,Telangana,Manufacturing,7167155.305648924,8580347.86311214,1.41,Micro,4,0.08,568,0,1,0.48
Balaji Ventures Ltd,Gujarat,Retail,7081143.6391042555,10097142.672263568,3.22,Micro,4,0.05,522,0,0,0.35
Ravi Foods Pvt Ltd,Karnataka,Retail,610075.4424254489,845679.6794759273,8.68,Micro,2,0.05,660,0,1,0.35
Nova Ventures Pvt Ltd,Maharashtra,Construction,6269552.23867527,9281979.858823264,14.2,Micro,3,0.05,736,0,1,0.62
Ravi Foods Corp,Madhya Pradesh,Retail,9603012.872696009,11159521.40984617,8.95,Micro,1,0.08,644,0,0,0.35
Ravi Foods Pvt Ltd,Uttar Pradesh,Manufacturing,351486824.05239904,461425701.6984646,18.77,Medium,1,0.11,746,0,0,0.48
Apex Enterprises Corp,Karnataka,Manufacturing,2531462.226105287,3721279.5546348114,7.86,Micro,4,0.05,687,0,1,0.48
Jagannath Tech LLP,Punjab,F&B,125554986.5179705,166780340.39809954,4.83,Medium,4,0.08,728,0,0,0.55
Indian Logistics Ltd,Maharashtra,Manufacturing,3423165.9838164602,4896700.010167747,6.12,Micro,3,0.05,668,0,1,0.48
Jagannath Logistics Ltd,Tamil Nadu,F&B,6118607.9192258725,6873274.325548777,6.19,Micro,4,0.08,661,0,1,0.55
Maruti Fabrics LLP,Uttar Pradesh,Retail,9588977.638630016,12352662.367641142,8.75,Micro,2,0.11,626,0,0,0.35
Maruti Foods Ltd,Tamil Nadu,Logistics,4178688.8641150105,5589199.061695114,15.83,Micro,2,0.08,768,0,1,0.42
Quality Ventures Pvt Ltd,Uttar Pradesh,Retail,2221960.08205691,2986740.225343876,6.7,Micro,2,0.11,606,0,0,0.35
Apex Fabrics Ltd,Maharashtra,IT Services,9200742.433824202,10277108.792206807,2.47,Micro,2,0.05,552,0,1,0.28
Ravi Solutions Pvt Ltd,West Bengal,IT Services,9504563.418453159,11390777.45907322,12.37,Micro,4,0.08,768,0,1,0.28
Balaji Fabrics Corp,Karnataka,Retail,1685826.5903432982,2196881.473654201,8.26,Micro,4,0.05,678,0,1,0.35
Indian Enterprises Ltd,Madhya Pradesh,Construction,5858744.908471381,7466644.321077351,5.81,Micro,2,0.08,647,0,0,0.62
Nova Tech Pvt Ltd,Delhi,IT Services,3933218.472347098,5210297.381451128,6.18,Micro,3,0.05,678,0,1,0.28
Apex Industries Ltd,Assam,F&B,5548825.396326947,7925742.618043954,9.14,Micro,1,0.08,693,0,0,0.55
Nova Trading Corp,West Bengal,Retail,95015175.14621101,125269895.08941767,2.3,Small,4,0.08,595,0,1,0.35
Balaji Fabrics Ltd,Maharashtra,Retail,54549280.33895689,70736820.83197111,6.89,Small,4,0.05,746,0,1,0.35
Quality Logistics LLP,Madhya Pradesh,IT Services,7130917.979536802,8977479.884365411,7.17,Micro,3,0.08,691,0,0,0.28
Balaji Industries Ltd,Uttar Pradesh,Retail,7564511.273070516,9343943.999500941,16.27,Micro,3,0.11,656,0,0,0.35
Balaji Solutions Corp,Maharashtra,Retail,215161861.27333367,272155233.49338424,5.67,Medium,1,0.05,674,0,1,0.35
Maruti Tech LLP,Haryana,Logistics,4358702.508310937,5900747.784163501,5.94,Micro,2,0.08,651,0,0,0.42
Maruti Fabrics LLP,Karnataka,Construction,96882387.55061528,132202293.94613887,3.78,Small,1,0.05,578,0,1,0.62
Balaji Logistics Corp,Gujarat,Manufacturing,3860752.442638975,4630878.92650096,2.14,Micro,1,0.05,546,0,0,0.48
Indian Solutions LLP,Rajasthan,Retail,1378630.7376194252,1580685.741292134,2.11,Micro,3,0.08,506,1,0,0.35
Balaji Tech LLP,Maharashtra,Retail,165887125.1596231,239865563.02610165,5.97,Medium,1,0.05,708,0,1,0.35
Apex Tech Corp,Bihar,IT Services,7502529.536530063,9635373.589459034,1.67,Micro,3,0.11,495,0,0,0.28
Apex Tech Pvt Ltd,Odisha,Manufacturing,5209171.953351372,6596287.385229647,0.94,Micro,2,0.11,481,0,0,0.48
Nova Logistics Corp,Gujarat,IT Services,1924334.2604535932,2264781.745145741,4.25,Micro,4,0.05,688,0,0,0.28
Global Industries Pvt Ltd,Gujarat,Manufacturing,5366766.983566439,7066437.156413989,11.44,Micro,2,0.05,661,0,0,0.48
Shree Ventures Pvt Ltd,Maharashtra,Construction,317195299.31347716,437835019.844852,5.66,Medium,2,0.05,724,0,1,0.62
Quality Enterprises Corp,Bihar,IT Services,42432615.02918954,55029550.93635209,12.87,Small,4,0.11,693,0,0,0.28
Quality Enterprises Corp,Punjab,IT Services,8275781.894797311,9113819.479870409,9.98,Micro,1,0.08,716,0,0,0.28
Ravi Fabrics Pvt Ltd,Gujarat,Retail,4681089.289123886,5159194.63558906,4.64,Micro,1,0.05,669,0,0,0.35
Jagannath Solutions LLP,Delhi,Retail,3564666.3695464376,4048576.752090163,2.84,Micro,2,0.05,523,0,1,0.35
Ravi Fabrics LLP,Maharashtra,IT Services,30839070.550279208,41048444.17633011,7.66,Small,4,0.05,737,0,1,0.28
Shree Enterprises LLP,Karnataka,Manufacturing,4764993.209247451,6968358.652006045,4.03,Micro,3,0.05,662,0,1,0.48
Shree Industries Corp,Tamil Nadu,Construction,4785566.710971091,6631493.913762747,5.18,Micro,1,0.08,673,0,1,0.62
Indian Solutions Corp,Karnataka,Retail,7384947.079533015,8136510.661139984,11.7,Micro,3,0.05,655,0,1,0.35
Indian Solutions Corp,Himachal Pradesh,Logistics,5279566.229828153,6179105.291672978,5.79,Micro,4,0.08,675,0,0,0.42
Dynamic Builders LLP,Telangana,Logistics,3839867.027897264,5676045.785201463,9.18,Micro,2,0.08,689,0,1,0.42
Jagannath Foods Corp,Tamil Nadu,Manufacturing,97183677.75445497,133891195.1247977,11.0,Small,3,0.08,693,0,1,0.48
Shree Solutions Corp,Telangana,Construction,11594143.006926801,15009342.196289059,5.12,Small,3,0.08,687,0,1,0.62
Balaji Foods Ltd,West Bengal,Retail,2577776.9910899773,3453325.559388178,10.49,Micro,2,0.08,673,0,1,0.35
Quality Enterprises Corp,Tamil Nadu,Manufacturing,9690845.767734772,11699785.224033346,0.88,Micro,4,0.08,515,0,1,0.48
Apex Foods Corp,West Bengal,Retail,807933.7035692255,997813.5172676889,1.57,Micro,2,0.08,558,1,1,0.35
Jagannath Enterprises Corp,Uttar Pradesh,Logistics,1714393.7836845254,2246030.133695274,14.39,Micro,4,0.11,697,0,0,0.42
Balaji Tech Pvt Ltd,Gujarat,Logistics,9872008.119757624,14708616.355065975,15.03,Micro,2,0.05,757,0,0,0.42
Sai Enterprises LLP,Andhra Pradesh,Construction,486541356.49919873,656540809.3350427,14.88,Medium,2,0.08,754,0,0,0.62
Sai Enterprises Pvt Ltd,Telangana,Retail,6903606.277676895,9211675.341754388,10.88,Micro,1,0.08,682,0,1,0.35
Apex Logistics Corp,Andhra Pradesh,Logistics,7953693.849536234,10509401.946020003,4.61,Micro,2,0.08,679,0,0,0.42
Apex Builders Pvt Ltd,Maharashtra,Retail,6725651.266902781,8016387.935398606,5.52,Micro,2,0.05,671,0,1,0.35
Dynamic Foods Pvt Ltd,Tamil Nadu,IT Services,3444550.5571714304,4806319.7349726865,3.7,Micro,1,0.08,560,0,1,0.28
Maruti Tech Ltd,Karnataka,Manufacturing,1440237.1388072255,1609477.4850865868,5.8,Micro,1,0.05,693,0,1,0.48
Dynamic Foods Pvt Ltd,Delhi,Manufacturing,7615549.774922661,9462545.363024894,3.44,Micro,2,0.05,548,0,1,0.48
Maruti Fabrics Ltd,Tamil Nadu,IT Services,7749953.256241621,11083235.91814649,16.86,Micro,3,0.08,724,0,1,0.28
Global Industries Corp,Maharashtra,Retail,489909929.53705704,645626130.3603388,3.03,Medium,2,0.05,580,0,1,0.35
Dynamic Tech Ltd,Himachal Pradesh,Manufacturing,1284385.178754519,1727051.1482362014,9.23,Micro,4,0.08,677,0,0,0.48
Nova Ventures Ltd,Maharashtra,Construction,526319.8009754727,659483.4764195853,5.71,Micro,2,0.05,667,0,1,0.62
Maruti Industries Corp,West Bengal,Logistics,1199736.167630656,1602734.8870151932,8.46,Micro,4,0.08,706,0,1,0.42
Maruti Fabrics Pvt Ltd,Uttar Pradesh,Logistics,1714176.001740646,1888393.0439934118,1.62,Micro,2,0.11,460,0,0,0.42
Apex Trading Pvt Ltd,Maharashtra,Manufacturing,2997510.5194452917,3601872.291844064,4.09,Micro,2,0.05,653,0,1,0.48
Maruti Ventures Corp,Tamil Nadu,Construction,9471435.193650724,11587696.192249889,7.14,Micro,3,0.08,660,0,1,0.62
Indian Industries Corp,Maharashtra,Manufacturing,1461149.016947117,1693181.7903268265,6.32,Micro,2,0.05,670,0,1,0.48
Ravi Fabrics Pvt Ltd,Maharashtra,Retail,4304454.449369206,5405964.663511195,4.02,Micro,3,0.05,661,0,1,0.35
Nova Builders Corp,Rajasthan,Logistics,1928783.9376743082,2271480.4786547655,2.19,Micro,3,0.08,530,0,0,0.42
Balaji Fabrics Ltd,West Bengal,Retail,1050987.2028932143,1559755.8502513252,2.82,Micro,1,0.08,562,1,1,0.35
Jagannath Trading LLP,Maharashtra,Manufacturing,1413143.2118077655,1941148.5717448974,13.92,Micro,2,0.05,719,0,1,0.48
Apex Ventures LLP,Karnataka,Manufacturing,3144066.410867241,3545370.001612216,5.46,Micro,1,0.05,670,0,1,0.48
Ravi Enterprises LLP,Bihar,F&B,9059343.359034115,12205566.461304424,4.51,Micro,1,0.11,634,0,0,0.55
Ravi Solutions LLP,Maharashtra,Retail,7098364.675564591,8080839.860052266,8.84,Micro,4,0.05,684,0,1,0.35
Global Logistics LLP,Bihar,Retail,6566073.348687516,8178974.886429933,6.39,Micro,3,0.11,649,0,0,0.35
Quality Foods Corp,Uttar Pradesh,Manufacturing,2800614.492075459,4026810.7307722713,18.93,Micro,4,0.11,703,0,0,0.48
Shree Enterprises LLP,Maharashtra,IT Services,9078571.55789987,12640487.432625093,4.58,Micro,3,0.05,668,0,1,0.28
Shree Foods Ltd,Telangana,Manufacturing,4623888.591073266,6818424.616722111,14.89,Micro,3,0.08,748,0,1,0.48
Apex Foods LLP,Gujarat,Construction,7343893.166405092,10759574.561281724,3.31,Micro,1,0.05,550,0,0,0.62
Sai Industries LLP,Karnataka,Manufacturing,1287047.2976592677,1851350.6412990931,1.79,Micro,4,0.05,563,1,1,0.48
Apex Industries LLP,Tamil Nadu,Construction,6762994.247197818,8614225.431014495,6.67,Micro,1,0.08,665,0,1,0.62
Sai Solutions Ltd,Gujarat,IT Services,2955911.298723475,3510761.3796179597,4.6,Micro,1,0.05,668,0,0,0.28
Sai Foods LLP,Tamil Nadu,Construction,2069151.205108564,2629361.382147084,6.57,Micro,4,0.08,612,0,1,0.62
Balaji Enterprises LLP,Delhi,Logistics,68926262.91081735,79421891.36828177,9.88,Small,4,0.05,718,0,1,0.42
Dynamic Ventures Ltd,Maharashtra,Construction,53361376.49799948,72462275.29674576,5.34,Small,1,0.05,717,0,1,0.62
Quality Builders LLP,Gujarat,Retail,70647296.70157875,95586579.5196537,1.63,Small,3,0.05,574,0,0,0.35
Jagannath Tech Corp,Karnataka,Retail,6005049.22603164,7183926.123782005,7.72,Micro,4,0.05,674,0,1,0.35
Sai Ventures Pvt Ltd,Telangana,Manufacturing,5428486.602999904,6888664.665739164,3.15,Micro,1,0.08,545,0,1,0.48
Sai Tech Corp,Karnataka,Manufacturing,5569906.462878361,7197801.575422976,9.71,Micro,1,0.05,690,0,1,0.48
Quality Logistics Pvt Ltd,Uttar Pradesh,IT Services,8768825.721866133,12864890.28254246,10.54,Micro,3,0.11,606,0,0,0.28
Nova Builders Pvt Ltd,Delhi,Logistics,22327945.235323854,25111546.341576558,9.09,Small,2,0.05,645,0,1,0.42
Apex Tech LLP,Karnataka,Retail,1028028.8793806517,1267342.8409999313,3.72,Micro,3,0.05,579,0,1,0.35
Quality Ventures Pvt Ltd,Maharashtra,Construction,7522037.271410992,8914615.173813043,7.19,Micro,1,0.05,688,0,1,0.62
Nova Tech LLP,Kerala,IT Services,2332677.3625282636,2705426.48773581,4.38,Micro,1,0.08,669,0,0,0.28
Quality Logistics Pvt Ltd,Madhya Pradesh,Manufacturing,6644949.484678541,9849499.127808906,4.14,Micro,1,0.08,689,0,0,0.48
